Civilization,Conflicts_per_century,Deaths_per_conflict,BHW,EF,ES,Region,Philosophy,Governance_Model,Economic_System,Period,Year_From,Year_To
Fragmented Democracies,9.0,8000,78,45,40,North Atlantic,Populist Polarization,Stalled Pluralism,Debt-Driven Consumption,Forecast – Inertia,2025,2075
Post-Growth Experimenters,3.0,2000,88,70,65,Northern Europe,Post-Growth Pragmatism,Post-Growth Democracy,Welfare + Circular Hybrid,Forecast – Inertia,2025,2075
Survivalist Global South,8.0,7000,65,50,45,Sub-Saharan Africa & South Asia,Decolonial Resource Struggles,Transitional Fragmentation,Informal & Barter Economies,Forecast – Inertia,2025,2075
Gulf Tech-Rentier Bloc,6.0,5000,76,25,20,Middle East,Technocratic Rentierism,Monarcho-Techno Rule,Oil-Tech Rentierism,Forecast – Inertia,2025,2075
Climate Collapse Regions,15.0,20000,55,20,15,Equatorial Band,Desperation & Displacement,Failed States & Relief Corridors,Scarcity-Driven Exchange,Forecast – Inertia,2025,2075
Corporate-Technocratic Remnants,8.0,30000,60,20,15,Global Megacity Zones,Algorithmic Hedonism,Protocol Councils,Tokenized Scarcity,Forecast – Inertia (Long-Term),2075,2575
Eco-Fortress City-States,6.0,10000,65,35,50,Mountain & Polar Strongholds,Ecological Isolationism,Eco-Military Rule,Protection Economies,Forecast – Inertia (Long-Term),2075,2575
AI-Governed Synthetics,1.0,1000,80,60,90,Digital Zones,Transhuman Rationality,AI Autonomous Admins,Post-Market Algorithms,Forecast – Inertia (Long-Term),2075,2575
Climate Displacement Nomads,5.0,15000,40,25,40,Mobility Corridors,Survival Animism,Nomadic Consensus,Forage-Trade Hybrid,Forecast – Inertia (Long-Term),2075,2575
Neo-Feudal Agro-Zones,7.0,12000,50,30,55,Farmlands,Neo-Feudal Mythology,Agrarian Lords,Agrarian Labor,Forecast – Inertia (Long-Term),2075,2575
Bio-Survivor Enclaves,2.0,5000,75,70,85,Forest Bioregions,Biocentric Stewardship,Bio-Spiritual Clans,DNA Access Rights,Forecast – Inertia (Long-Term),2075,2575
Post-Civilizational Tribes,0.5,200,55,65,95,Wilderness Zones,Rewilded Memory,Elder-Guided Circles,Ritual Gift Cycles,Forecast – Inertia (Long-Term),2075,2575
Global Kōra Transition Model,0.2,300,97,98,99,Global,Restorative Interbeing,Elder Council + Assemblies,Stewardship Exchange,Forecast – Kōra Vision,2075,2150
Community-Based Alliances,0.5,500,95,97,98,Multi-Continental,Ubuntu + Ecology,Rotational Mandates,Gift-Circular Economy,Forecast – Kōra Vision,2075,2150
Oceanic Stewardship Confederations,0.1,100,96,99,100,Pacific + Indigenous,Ancestral + Oceanic Wisdom,Custodian Networks,Ecospiritual Reciprocity,Forecast – Kōra Vision,2075,2150
Post-Digital Wisdom Circles,0.0,0,98,100,99,Decentralized Nodes,Stewardship & Reflection,Wisdom Constellations,Needs-Based Flow,Forecast – Kōra Vision,2075,2150
Decolonial Federations,0.3,200,94,95,97,"Africa, Americas, Eurasia",Pluralistic Reparation,Inter-Council Systems,Reparation Exchange,Forecast – Kōra Vision,2075,2150
Bioregional Commons,0.2,150,96,98,99,Watershed Zones,Ethics of Sufficiency,Commons Coordination,Contribution Economy,Forecast – Kōra Vision,2075,2150
